threads,rows,cols,sparsity,dense_size,dense_compressed_size,dense_time_ms,csr_size,csr_compressed_size,csr_ratio,lz4_efficiency,total_efficiency,csr_time_ms,lz4_time_ms
1,100,100,0.1,40000,38482,0.303922,72084,42360,180.21,41.2352,-5.9,0.131786,0.176503
1,100,100,0.5,40000,25924,0.296296,39604,30342,99.01,23.3865,24.145,0.160731,0.114146
1,100,100,0.9,40000,7147,0.122673,8156,7054,20.39,13.5115,82.365,0.074405,0.033688
1,500,500,0.1,1000000,970140,4.91126,1801716,1035375,180.172,42.534,-3.5375,2.15633,3.01015
1,500,500,0.5,1000000,666022,3.30718,1000740,668511,100.074,33.1983,33.1489,1.90637,1.3416
1,500,500,0.9,1000000,178105,1.1981,200276,149200,20.0276,25.5028,85.08,0.486052,0.272465
1,1000,1000,0.1,4000000,3880642,6.45297,7203676,4153493,180.092,42.342,-3.83732,4.08007,7.19639
1,1000,1000,0.5,4000000,2664524,8.72857,4001756,2728995,100.044,31.8051,31.7751,4.95091,5.52018
1,1000,1000,0.9,4000000,716845,4.56554,803620,605055,20.0905,24.7088,84.8736,1.73455,1.01296
2,100,100,0.1,40000,38482,0.073093,72084,42360,180.21,41.2352,-5.9,12.4178,0.03315
2,100,100,0.5,40000,25914,0.081128,39604,30308,99.01,23.4724,24.23,12.1514,0.029555
2,100,100,0.9,40000,7177,0.033808,8156,7067,20.39,13.3521,82.3325,12.7287,0.008783
2,500,500,0.1,1000000,970186,1.28923,1801716,1033836,180.172,42.6194,-3.3836,12.4651,0.79189
2,500,500,0.5,1000000,665967,1.82163,1000740,673862,100.074,32.6636,32.6138,13.3822,0.870772
2,500,500,0.9,1000000,178106,0.935967,200276,148933,20.0276,25.6361,85.1067,12.6168,0.196426
2,1000,1000,0.1,4000000,3880691,5.29855,7203676,4153790,180.092,42.3379,-3.84475,14.8236,6.17459
2,1000,1000,0.5,4000000,2664478,8.27331,4001756,2729868,100.044,31.7832,31.7533,13.8169,5.42869
2,1000,1000,0.9,4000000,716815,4.6919,803620,610434,20.0905,24.0395,84.7392,10.9374,1.01853
4,100,100,0.1,40000,38455,0.068442,72084,42671,180.21,40.8038,-6.6775,33.9015,0.033835
4,100,100,0.5,40000,25934,0.076046,39604,30238,99.01,23.6491,24.405,36.3441,0.031555
4,100,100,0.9,40000,7121,0.031071,8156,7053,20.39,13.5238,82.3675,40.0911,0.009052
4,500,500,0.1,1000000,970240,1.35982,1801716,1038897,180.172,42.3385,-3.8897,40.7736,0.789203
4,500,500,0.5,1000000,665954,1.95854,1000740,673569,100.074,32.6929,32.6431,43.1155,0.856229
4,500,500,0.9,1000000,178196,0.882249,200276,149253,20.0276,25.4763,85.0747,42.8377,0.210821
4,1000,1000,0.1,4000000,3880622,14.386,7203676,4162681,180.092,42.2145,-4.06703,39.2618,6.03995
4,1000,1000,0.5,4000000,2664568,8.11915,4001756,2727314,100.044,31.8471,31.8172,32.3788,14.8139
4,1000,1000,0.9,4000000,716796,4.50843,803620,609202,20.0905,24.1928,84.77,29.391,0.980518
8,100,100,0.1,40000,38475,0.074011,72084,43254,180.21,39.995,-8.135,73.4963,0.03436
8,100,100,0.5,40000,25959,0.07543,39604,30458,99.01,23.0936,23.855,96.5879,0.029536
8,100,100,0.9,40000,7112,0.030931,8156,7017,20.39,13.9652,82.4575,99.8542,0.009115
8,500,500,0.1,1000000,970174,1.39169,1801716,1039137,180.172,42.3251,-3.9137,63.8913,0.79514
8,500,500,0.5,1000000,665998,1.82495,1000740,678989,100.074,32.1513,32.1011,90.1808,0.82364
8,500,500,0.9,1000000,177991,0.930675,200276,149564,20.0276,25.3211,85.0436,106.924,0.190658
8,1000,1000,0.1,4000000,3880642,23.3538,7203676,4153600,180.092,42.3405,-3.84001,81.7744,6.16282
8,1000,1000,0.5,4000000,2664679,8.46285,4001756,2732136,100.044,31.7266,31.6966,68.7044,26.6435
8,1000,1000,0.9,4000000,716764,4.53589,803620,605694,20.0905,24.6293,84.8577,67.0306,1.02428
